message,es,percentage_es,en,percentage_en,comments,example,type,message_l2
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,det noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,present_progressive_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,present_progressive_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",pron:subject aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,pron:subject aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,present_progressive_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,det noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,past_progressive_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,past_progressive_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",pron:subject aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,pron:subject aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,past_progressive_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,det noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,present_perfect_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.54,present_perfect_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,X,ACTION-LINKING,Y,D,Z",pron:subject aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,pron:subject aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,present_perfect_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y,D,Z",det noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.92,det noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.92,simple_present_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj verb:cause-motion det noun:thing prep det noun:goal,0.54,det adj noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.54,simple_present_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y,D,Z",pron:subject verb:cause-motion det noun:thing prep det noun:goal,0.92,pron:subject verb:cause-motion det noun:thing prep det noun:goal,0.92,simple_present_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y,D,Z",det noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.92,det noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.92,simple_past_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj verb:cause-motion past det noun:thing prep det noun:goal,0.54,det adj noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.54,simple_past_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y,D,Z",pron:subject verb:cause-motion past det noun:thing prep det noun:goal,0.92,pron:subject verb:cause-motion past det noun:thing prep det noun:goal,0.92,simple_past_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,det noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,present_progressive_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,det adj noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,present_progressive_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",pron:subject aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,pron:subject aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,present_progressive_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,det noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,past_progressive_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,det adj noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,past_progressive_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,X,ACTION-LINKING,Y,D,Z",pron:subject aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,pron:subject aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,past_progressive_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,X,ACTION-LINKING,Y,D,Z",det noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,det noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,present_perfect_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.54,det adj noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.54,present_perfect_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,X,ACTION-LINKING,Y,D,Z",pron:subject aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,pron:subject aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,present_perfect_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y,D,Z",det noun:animate verb:state-change det noun:container with noun:thing,0.92,det noun:animate verb:state-change det noun:container with noun:thing,0.92,simple_present_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj verb:state-change det noun:container with noun:thing,0.54,det adj noun:animate verb:state-change det noun:container with noun:thing,0.54,simple_present_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y,D,Z",pron:subject verb:state-change det noun:container with noun:thing,0.92,pron:subject verb:state-change det noun:container with noun:thing,0.92,simple_present_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y,D,Z",det noun:animate verb:state-change past det noun:container with noun:thing,0.92,det noun:animate verb:state-change past det noun:container with noun:thing,0.92,simple_past_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y,D,Z",det noun:animate adj verb:state-change past det noun:container with noun:thing,0.54,det adj noun:animate verb:state-change past det noun:container with noun:thing,0.54,simple_past_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y,D,Z",pron:subject verb:state-change past det noun:container with noun:thing,0.92,pron:subject verb:state-change past det noun:container with noun:thing,0.92,simple_past_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:0.5,D,Z:1",det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_50,,locative_alt_lt,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:0.75,D,Z:1",det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_75,,locative_alt_lt,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.5",det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_50,,locative_alt_tl,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.75",det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_75,,locative_alt_tl,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:0.5,D,Z:1",det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_50,,locative_alt_lt,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:0.75,D,Z:1",det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_75,,locative_alt_lt,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.5",det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_50,,locative_alt_tl,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.75",det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_75,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y:0.5,D,Z:1",det noun:animate adj verb:locative-alt det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,simple_present_locative_theme_50_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y:0.75,D,Z:1",det noun:animate adj verb:locative-alt det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,simple_present_locative_theme_75_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y:1,D,Z:0.5",det noun:animate adj verb:locative-alt noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,simple_present_theme_locative_50_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,X-MOD,ACTION-LINKING,Y:1,D,Z:0.75",det noun:animate adj verb:locative-alt noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,simple_present_theme_locative_75_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y:0.5,D,Z:1",det noun:animate adj verb:locative-alt past det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,simple_past_locative_theme_50_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y:0.75,D,Z:1",det noun:animate adj verb:locative-alt past det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,simple_past_locative_theme_75_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y:1,D,Z:0.5",det noun:animate adj verb:locative-alt past noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,simple_past_theme_locative_50_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,X-MOD,ACTION-LINKING,Y:1,D,Z:0.75",det noun:animate adj verb:locative-alt past noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,simple_past_theme_locative_75_adj,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:0.5,D,Z:1",pron:subject verb:locative-alt det noun:container with noun:thing,0.57,pron:subject verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_50_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:0.75,D,Z:1",pron:subject verb:locative-alt det noun:container with noun:thing,0.57,pron:subject verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_75_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.5",pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_50_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.75",pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_75_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:0.5,D,Z:1",pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_50_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:0.75,D,Z:1",pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_75_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.5",pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_50_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,X,ACTION-LINKING,Y:1,D,Z:0.75",pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_75_pron,,locative_alt_tl,
