message,nl,percentage_nl,en,percentage_en,comments,example,type,message_l2
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,YY-MOD",det adj noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.26,present_progressive_animate_intransitive_adj,the tall woman is play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY",det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive,the woman is play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY",pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::present:progressive:singular verb:anim-intrans prg,0.45,present_progressive_animate_intransitive_pron,she is play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY,YY-MOD",det adj noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.26,det adj noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.26,past_progressive_animate_intransitive_adj,the tall woman was play -prg,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY",det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,det noun:animate aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive,the woman was play -prg,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY",pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,pron:subject aux::past:progressive:singular verb:anim-intrans prg,0.45,past_progressive_animate_intransitive_pron,she was play -prg,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY,YY-MOD",det adj noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.26,det adj noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.26,present_perfect_animate_intransitive_adj,the tall woman has play -par,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY",det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,det noun:animate aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive,the woman has play -par,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY",pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,pron:subject aux::present:perfect:singular verb:anim-intrans prf,0.45,present_perfect_animate_intransitive_pron,she has play -par,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY,YY-MOD",det adj noun:animate verb:anim-intrans,0.26,det adj noun:animate verb:anim-intrans,0.26,simple_present_animate_intransitive_adj,,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY",det noun:animate verb:anim-intrans,0.45,det noun:animate verb:anim-intrans,0.45,simple_present_animate_intransitive,,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY",pron:subject verb:anim-intrans,0.45,pron:subject verb:anim-intrans,0.45,simple_present_animate_intransitive_pron,,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,YY,YY-MOD",det adj noun:animate verb:anim-intrans past,0.26,det adj noun:animate verb:anim-intrans past,0.26,simple_past_animate_intransitive adj,,anim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,YY",det noun:animate verb:anim-intrans past,0.45,det noun:animate verb:anim-intrans past,0.45,simple_past_animate_intransitive,,anim_intrans,
"Y=pron;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,YY",pron:subject verb:anim-intrans past,0.45,pron:subject verb:anim-intrans past,0.45,simple_past_animate_intransitive_pron,,anim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,det adj noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,present_progressive_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,YY,DD,ZZ",det noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,det noun:animate aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,present_progressive_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,SIMPLE,YY,DD,ZZ",pron:subject aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,pron:subject aux::present:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,present_progressive_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,det adj noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.26,past_progressive_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,YY,DD,ZZ",det noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,det noun:animate aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,past_progressive_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,SIMPLE,YY,DD,ZZ",pron:subject aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,pron:subject aux::past:progressive:singular verb:anim-with-intrans prg with det noun:animate,0.45,past_progressive_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.26,det adj noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.26,present_perfect_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,YY,DD,ZZ",det noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,det noun:animate aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,present_perfect_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,SIMPLE,YY,DD,ZZ",pron:subject aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,pron:subject aux::present:perfect:singular verb:anim-with-intrans prf with det noun:animate,0.45,present_perfect_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate verb:anim-with-intrans with det noun:animate,0.26,det adj noun:animate verb:anim-with-intrans with det noun:animate,0.26,simple_present_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,DD,ZZ",det noun:animate verb:anim-with-intrans with det noun:animate,0.45,det noun:animate verb:anim-with-intrans with det noun:animate,0.45,simple_present_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,DD,ZZ",pron:subject verb:anim-with-intrans with det noun:animate,0.45,pron:subject verb:anim-with-intrans with det noun:animate,0.45,simple_present_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate verb:anim-with-intrans past with det noun:animate,0.26,det adj noun:animate verb:anim-with-intrans past with det noun:animate,0.26,simple_past_animate_with_intransitive_adj,,anim_w_intrans,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,DD,ZZ",det noun:animate verb:anim-with-intrans past with det noun:animate,0.45,det noun:animate verb:anim-with-intrans past with det noun:animate,0.45,simple_past_animate_with_intransitive,,anim_w_intrans,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,DD,ZZ",pron:subject verb:anim-with-intrans past with det noun:animate,0.45,pron:subject verb:anim-with-intrans past with det noun:animate,0.45,simple_past_animate_with_intransitive_pron,,anim_w_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.54,det adj noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.54,present_progressive_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,DD,ZZ",det noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,det noun:animate aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,present_progressive_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,DD,ZZ",pron:subject aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,pron:subject aux::present:progressive:singular verb:locative prg prep det noun:goal,0.92,present_progressive_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.54,det adj noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.54,past_progressive_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,YY,DD,ZZ",det noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,det noun:animate aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,past_progressive_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,YY,DD,ZZ",pron:subject aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,pron:subject aux::past:progressive:singular verb:locative prg prep det noun:goal,0.92,past_progressive_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,YY,YY-MOD,DD,ZZ",det adj noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.54,det adj noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.54,present_perfect_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,YY,DD,ZZ",det noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,det noun:animate aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,present_perfect_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,YY,DD,ZZ",pron:subject aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,pron:subject aux::present:perfect:singular verb:locative prf prep det noun:goal,0.92,present_perfect_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate verb:locative prep det noun:goal,0.54,det adj noun:animate verb:locative prep det noun:goal,0.54,simple_present_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,DD,ZZ",det noun:animate verb:locative prep det noun:goal,0.92,det noun:animate verb:locative prep det noun:goal,0.92,simple_present_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,YY,DD,ZZ",pron:subject verb:locative prep det noun:goal,0.92,pron:subject verb:locative prep det noun:goal,0.92,simple_present_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,YY-MOD,DD,ZZ",det adj noun:animate verb:locative past prep det noun:goal,0.54,det adj noun:animate verb:locative past prep det noun:goal,0.54,simple_past_locative_adj,,locative,
"Y=;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,DD,ZZ",det noun:animate verb:locative past prep det noun:goal,0.92,det noun:animate verb:locative past prep det noun:goal,0.92,simple_past_locative,,locative,
"Y=pron;ACTION-LINKING=;D=;Z=;EVENT-SEM=PAST,SIMPLE,YY,DD,ZZ",pron:subject verb:locative past prep det noun:goal,0.92,pron:subject verb:locative past prep det noun:goal,0.92,simple_past_locative_pron,,locative,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY,YY-MOD",det adj noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.52,det adj noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.52,present_progressive_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,YY",det noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.67,det noun:thing aux::present:progressive:singular verb:inanim-intrans prg,0.67,present_progressive_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY,YY-MOD",det adj noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.52,det adj noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.52,past_progressive_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,PROGRESSIVE,YY",det noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.67,det noun:thing aux::past:progressive:singular verb:inanim-intrans prg,0.67,past_progressive_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY,YY-MOD",det adj noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.52,det adj noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.52,present_perfect_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,YY",det noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.67,det noun:thing aux::present:perfect:singular verb:inanim-intrans prf,0.67,present_perfect_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY,YY-MOD",det adj noun:thing verb:inanim-intrans,0.52,det adj noun:thing verb:inanim-intrans,0.52,simple_present_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PRESENT,SIMPLE,YY",det noun:thing verb:inanim-intrans,0.67,det noun:thing verb:inanim-intrans,0.67,simple_present_inanimate_intransitive,,inanim_intrans,
"Y=;Y-MOD=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,YY,YY-MOD",det adj noun:thing verb:inanim-intrans past,0.52,det adj noun:thing verb:inanim-intrans past,0.52,simple_past_inanimate_intransitive_adj,,inanim_intrans,
"Y=;ACTION-LINKING=;EVENT-SEM=PAST,SIMPLE,YY",det noun:thing verb:inanim-intrans past,0.67,det noun:thing verb:inanim-intrans past,0.67,simple_past_inanimate_intransitive,,inanim_intrans,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5",det adj noun:mover verb:theme-exp det noun:animate,0.67,det adj noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_adj_active_50,,theme_exp_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5",det noun:mover verb:theme-exp det noun:animate,0.67,det noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_active_50,,theme_exp_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.5",pron:subject verb:theme-exp det noun:animate,0.67,pron:subject verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_pron_active_50,,theme_exp_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.5",det adj noun:mover verb:theme-exp past det noun:animate,0.67,det adj noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_adj_active_50,,theme_exp_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5",det noun:mover verb:theme-exp past det noun:animate,0.67,det noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_active_50,,theme_exp_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.5",pron:subject verb:theme-exp past det noun:animate,0.67,pron:subject verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_pron_active_50,,theme_exp_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75",det adj noun:mover verb:theme-exp det noun:animate,0.67,det adj noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_adj_active_75,,theme_exp_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75",det noun:mover verb:theme-exp det noun:animate,0.67,det noun:mover verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_active_75,,theme_exp_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,X:1,ACTION-LINKING,Y:0.75",pron:subject verb:theme-exp det noun:animate,0.67,pron:subject verb:theme-exp det noun:animate,0.67,simple_present_theme_experiencer_pron_active_75,,theme_exp_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,X-MOD,ACTION-LINKING,Y:0.75",det adj noun:mover verb:theme-exp past det noun:animate,0.67,det adj noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_adj_active_75,,theme_exp_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75",det noun:mover verb:theme-exp past det noun:animate,0.67,det noun:mover verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_active_75,,theme_exp_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,X:1,ACTION-LINKING,Y:0.75",pron:subject verb:theme-exp past det noun:animate,0.67,pron:subject verb:theme-exp past det noun:animate,0.67,simple_past_theme_experiencer_pron_active_75,,theme_exp_active,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PRESENT,SIMPLE,X:0.5,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_present_theme_experiencer_adj_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_present_theme_experiencer_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PRESENT,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_present_theme_experiencer_pron_object_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,X:0.5,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_past_theme_experiencer_adj_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_past_theme_experiencer_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,X:0.5,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_past_theme_experiencer_pron_object_passive_50,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PRESENT,SIMPLE,X:0.75,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_present_theme_experiencer_adj_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_present_theme_experiencer_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PRESENT,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::present:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_present_theme_experiencer_pron_object_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,X:0.75,X-MOD,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det adj noun:mover,0.67,simple_past_theme_experiencer_adj_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by det noun:mover,0.67,simple_past_theme_experiencer_passive_75,,theme_exp_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,X:0.75,ACTION-LINKING,Y:1",det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,det noun:animate aux::past:perfect_pass:singular verb:theme-exp prf by pron:prep-object,0.67,simple_past_theme_experiencer_pron_object_passive_75,,theme_exp_passive,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,YY:0.5",det noun:animate verb:transitive det noun:thing,0.57,det noun:animate verb:transitive det noun:thing,0.57,simple_present_transitive_active_50,,transitive_active,
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,YY:0.75",det noun:animate verb:transitive det noun:thing,0.57,det noun:animate verb:transitive det noun:thing,0.57,simple_present_transitive_active_75,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,XX-MOD,YY:0.5",det adj noun:animate verb:transitive det noun:thing,0.34,det adj noun:animate verb:transitive det noun:thing,0.34,simple_present_transitive_adj_active_50,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,XX-MOD,YY:0.75",det adj noun:animate verb:transitive det noun:thing,0.34,det adj noun:animate verb:transitive det noun:thing,0.34,simple_present_transitive_adj_active_75,,transitive_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,YY:0.5",pron:subject verb:transitive det noun:thing,0.57,pron:subject verb:transitive det noun:thing,0.57,simple_present_transitive_pron_active_50,,transitive_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX:1,YY:0.75",pron:subject verb:transitive det noun:thing,0.57,pron:subject verb:transitive det noun:thing,0.57,simple_present_transitive_pron_active_75,,transitive_active,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,XX:0.5,YY:1",det noun:thing aux::present:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,det noun:thing aux::present:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,simple_present_transitive_passive_50,,transitive_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PRESENT,SIMPLE,XX:0.75,YY:1",det noun:thing aux::present:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,det noun:thing aux::present:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,simple_present_transitive_passive_75,,transitive_passive,
